Type,Indicator,Souce
domain,safeyourdata.xyz,https://github.com/craiu/mobiletrackers
domain,sport4ever.club,https://github.com/craiu/mobiletrackers
domain,vipyoga.today,https://github.com/craiu/mobiletrackers
domain,weatherclub.club,https://github.com/craiu/mobiletrackers
domain,yoga4u.xyz,https://github.com/craiu/mobiletrackers
domain,yqchpwxvbg.execute-api.us-east-1.amazonaws.com,https://github.com/craiu/mobiletrackers
domain,pn8sm7rjuc.execute-api.us-east-1.amazonaws.com,https://github.com/craiu/mobiletrackers
domain,api.findgravy.com,https://github.com/craiu/mobiletrackers
domain,nwzhmwux-api.findgravy.com,https://github.com/craiu/mobiletrackers
domain,zmq5ytc1-api.findgravy.com,https://github.com/craiu/mobiletrackers
domain,mtm1nwmx-api.findgravy.com,https://github.com/craiu/mobiletrackers
domain,gravyanalytics.com,https://github.com/craiu/mobiletrackers
domain,ws.findgravy.com,https://github.com/craiu/mobiletrackers
domain,api.foozor.com,https://github.com/craiu/mobiletrackers
domain,testapi.foozor.com,https://github.com/craiu/mobiletrackers
domain,img01.findgravy.com,https://github.com/craiu/mobiletrackers
domain,img02.findgravy.com,https://github.com/craiu/mobiletrackers
domain,img03.findgravy.com,https://github.com/craiu/mobiletrackers
domain,img04.findgravy.com,https://github.com/craiu/mobiletrackers
domain,pushapi.localytics.com,https://github.com/craiu/mobiletrackers
domain,analytics.localytics.com,https://github.com/craiu/mobiletrackers
domain,profile.localytics.com,https://github.com/craiu/mobiletrackers
domain,in.cuebiq.com,https://github.com/craiu/mobiletrackers
domain,ingestion-api.kiwi.sand.cuebiq.ai,https://github.com/craiu/mobiletrackers
domain,dev.nodle.io,https://github.com/craiu/mobiletrackers
domain,us-central1-production-242307.cloudfunctions.net,https://github.com/craiu/mobiletrackers
domain,api.smartechmetrics.com,https://github.com/craiu/mobiletrackers
domain,firebase-settings.crashlytics.com,https://github.com/craiu/mobiletrackers
domain,update.crashlytics.com,https://github.com/craiu/mobiletrackers
domain,reports.crashlytics.com,https://github.com/craiu/mobiletrackers
domain,pixelprose.fr,https://github.com/craiu/mobiletrackers
domain,onelink.me,https://github.com/craiu/mobiletrackers
domain,onelnk.com,https://github.com/craiu/mobiletrackers
domain,app.aflink.com,https://github.com/craiu/mobiletrackers
domain,t.appsflyer.com,https://github.com/craiu/mobiletrackers
domain,api.mixpanel.com,https://github.com/craiu/mobiletrackers
domain,decide.mixpanel.com,https://github.com/craiu/mobiletrackers
domain,cdn.optimizely.com,https://github.com/craiu/mobiletrackers
domain,logx.optimizely.com,https://github.com/craiu/mobiletrackers
domain,outline.truecaller.com,https://github.com/craiu/mobiletrackers
domain,api4.truecaller.com,https://github.com/craiu/mobiletrackers
domain,c.webengage.com,https://github.com/craiu/mobiletrackers
domain,p.webengage.com,https://github.com/craiu/mobiletrackers
domain,api.branch.io,https://github.com/craiu/mobiletrackers
domain,bnc.lt,https://github.com/craiu/mobiletrackers
domain,cdn.branch.io,https://github.com/craiu/mobiletrackers
domain,e.crashlytics.com,https://github.com/craiu/mobiletrackers
domain,settings.crashlytics.com,https://github.com/craiu/mobiletrackers
domain,js.intercomcdn.com,https://github.com/craiu/mobiletrackers
domain,mobile-sdk-api.intercom.io,https://github.com/craiu/mobiletrackers
domain,wzrkt.com,https://github.com/craiu/mobiletrackers
domain,in.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,api.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,cb.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,eu1-spiky.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,eu1.alb.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,eu1.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,in.cb.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,in1-spiky.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,in1.alb.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,in1.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,sg1-spiky.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,sg1.cb.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,sg1.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,sk1-spiky.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,sk1-staging-1.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,sk1-staging-10.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,sk1-staging-2.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,sk1-staging-3.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,sk1-staging-4.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,sk1-staging-5.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,sk1-staging-6.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,sk1-staging-7.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,sk1-staging-8.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,sk1-staging-9.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,sk1.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,us1-spiky.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,us1.cb.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,us1.wzrkt.com,https://github.com/craiu/mobiletrackers
domain,api.tllms.com,https://github.com/craiu/mobiletrackers
domain,marketing.tllms.com,https://github.com/craiu/mobiletrackers
domain,control.teragence.net,https://github.com/craiu/mobiletrackers
domain,pfsense02-01.is-61194.teragence.net,https://github.com/craiu/mobiletrackers
domain,upload-tutelawest.s3-accelerate.amazonaws.com,https://github.com/craiu/mobiletrackers
domain,reporting-util.tutelatechnologies.com,https://github.com/craiu/mobiletrackers
domain,hail-reporting.tutelatechnologies.com,https://github.com/craiu/mobiletrackers
domain,thepopulator.tutelatechnologies.com,https://github.com/craiu/mobiletrackers
domain,api.huqindustries.co.uk,https://github.com/craiu/mobiletrackers
domain,report.huqindustries.co.uk,https://github.com/craiu/mobiletrackers
domain,charles.huqindustries.co.uk,https://github.com/craiu/mobiletrackers
domain,api.pythonexample.com,https://github.com/craiu/mobiletrackers
domain,sdk.predic.io,https://github.com/craiu/mobiletrackers
domain,kinesis.ap-southeast-1.amazonaws.com,https://github.com/craiu/mobiletrackers
domain,sdk-as.complementics.com,https://github.com/craiu/mobiletrackers
domain,static.complementics.com,https://github.com/craiu/mobiletrackers
domain,redvios.com,https://github.com/craiu/mobiletrackers
domain,v-talk.top,https://github.com/craiu/mobiletrackers
domain,v-talk.vip,https://github.com/craiu/mobiletrackers
domain,ladysizi.top,https://github.com/craiu/mobiletrackers
domain,mmbox.top,https://github.com/craiu/mobiletrackers
domain,oncamera.top,https://github.com/craiu/mobiletrackers
domain,oncast.top,https://github.com/craiu/mobiletrackers
domain,mimibox.top,https://github.com/craiu/mobiletrackers
domain,voicecontrol.top,https://github.com/craiu/mobiletrackers
domain,signaltalk.top,https://github.com/craiu/mobiletrackers
domain,oncamera.vip,https://github.com/craiu/mobiletrackers
domain,dalbam.vip,https://github.com/craiu/mobiletrackers
domain,mimimsg.net,https://github.com/craiu/mobiletrackers
domain,signal-live.vip,https://github.com/craiu/mobiletrackers
domain,tele-gram.vip,https://github.com/craiu/mobiletrackers
domain,vtalk.vip,https://github.com/craiu/mobiletrackers
domain,a-video.vip,https://github.com/craiu/mobiletrackers
domain,livetalk.vip,https://github.com/craiu/mobiletrackers
domain,livetalk.top,https://github.com/craiu/mobiletrackers
domain,download-file.top,https://github.com/craiu/mobiletrackers
domain,grd77.cn,https://github.com/craiu/mobiletrackers
domain,mimicwt.net,https://github.com/craiu/mobiletrackers
domain,super-voice.vip,https://github.com/craiu/mobiletrackers
domain,mimi18s.top,https://github.com/craiu/mobiletrackers
domain,momomsg.top,https://github.com/craiu/mobiletrackers
domain,live-live.vip,https://github.com/craiu/mobiletrackers
domain,zerobyte.top,https://github.com/craiu/mobiletrackers
domain,zerobt.net,https://github.com/craiu/mobiletrackers
domain,w-video.vip,https://github.com/craiu/mobiletrackers
domain,ser-chat.com,https://github.com/craiu/mobiletrackers
domain,tocast.vip,https://github.com/craiu/mobiletrackers
domain,videosound.vip,https://github.com/craiu/mobiletrackers
domain,twi-tter.vip,https://github.com/craiu/mobiletrackers
domain,my-player.vip,https://github.com/craiu/mobiletrackers
domain,voicesupport.vip,https://github.com/craiu/mobiletrackers
domain,gd-1301476296.cos.na-toronto.myqcloud.com,https://github.com/craiu/mobiletrackers
domain,cdn.owebanalytics.com,https://github.com/craiu/mobiletrackers
domain,static.trckingbyte.com,https://github.com/craiu/mobiletrackers
domain,static.trckpath.com,https://github.com/craiu/mobiletrackers
domain,static.privacytrck.com,https://github.com/craiu/mobiletrackers
domain,rctphvxwnjhx.pw,https://github.com/craiu/mobiletrackers
